 A	EY
 OUTSTANDING	AW T S T AE N D IH NG
 OUTSTRETCHED	AW T S T R EH CH T
 OUTWEIGH	AW T W EY
 OVER	OW V ER
 OVERAWE	OW V ER AO
 OVERCAME	OW V ER K EY M
 OVERCOAT	OW V ER K OW T
 OVERCOME	OW V ER K AH M
 OVERCOMING	OW V ER K AH M IH NG
 OVERDID	OW V ER D IH D
 OVERHAULED	OW V ER HH AO L D
 OVERHEAD	OW V ER HH EH D
 OVERHEAR	OW V ER HH IY R
 OVERHEARING	OW V ER HH IY R IH NG
 OVERJOYED	OW V ER JH OY D
 OVERLOOK	OW V ER L UH K
 OVERLOOKED	OW V ER L UH K T
 OVERNIGHT	OW V ER N AY T
 OVERPOWERING	OW V ER P AW R IH NG
 OVERRULED	OW V ER R UW L D
 OVERSEEN	OW V ER S IY N
 OVERSIGHT	OW V ER S AY T
 OVERSTRUNG	OW V ER S T R AH NG
 OVERTAKE	OW V ER T EY K
 OVERTAKEN	OW V ER T EY K AH N
 OVERTHROWN	OW V ER TH R OW N
 OVERTOOK	OW V ER T UH K
 OVERTURNED	OW V ER T ER N D
 OVERWHELM	OW V ER W EH L M
 OVERWHELMED	OW V ER W EH L M D
 OWE	OW
 OWING	OW IH NG
 OWN	OW N
 OWNER	OW N ER
 OXFORD	AA K S F ER D
 OXFORDSHIRE	AA K S F ER D SH AY ER
 OXIDE	AA K S AY D
 OXYGEN	AA K S AH JH AH N
 PA	P AA
 PACE	P EY S
 PACED	P EY S T
 PACES	P EY S IH Z
 PACIFIC	P AH S IH F IH K
 PACING	P EY S IH NG
 PACK	P AE K
 PACKAGES	P AE K AH JH AH Z
 PACKED	P AE K T
 PACKET	P AE K AH T
 PACKETS	P AE K IH T S
 PACKING	P AE K IH NG
 PADDINGTON	P AE D IH NG T AH N
 PADDLE	P AE D AH L
 PADDLING	P AE D AH L IH NG
 PADLOCKED	P AE D L AA K T
 PÂTÉ	P AH T EH
 PAGE	P EY JH
 PAID	P EY D
 PAIN	P EY N
 PAINED	P EY N D
 PAINFUL	P EY N F AH L
 PAINFULLY	P EY N F AH L IY
 PAINFULNESS	P EY N F AH L N AH S
 PAINS	P EY N Z
 PAINSHILL	P EY N SH IH L
 PAINT	P EY N T
 PAINTED	P EY N T AH D
 PAIR	P EH R
 PAL	P AE L
 PALE	P EY L
 PALENESS	P EY L N AH S
 PALINGS	P EY L IH NG Z
 PALL	P AA L
 PALLET	P AE L AH T
 PALLID	P AE L AH D
 PALLOR	P AE L ER
 PALM	P AA M
 PALMER	P AA M ER
 PALPABLE	P AE L P AH B AH L
 PALPITATING	P AE L P AH T EY T IH NG
 PALS	P AE L Z
 PANCRAS	P AE NG K R AH Z
 PANEL	P AE N AH L
 PANELLED	P AE N AH L D
 PANELLING	P AE N AH L IH NG
 PANIC	P AE N IH K
 PANOPLY	P AE N AA P L IY
 PANTED	P AE N T IH D
 PANTING	P AE N T IH NG
 PANTRY	P AE N T R IY
 PAPER	P EY P ER
 PAPERS	P EY P ER Z
 PARABOLIC	P EH R AH B AA L IH K
 PARADE	P ER EY D
 PARADOL	P AE R AH D AH L
 PARADOXICAL	P EH R AH D AA K S IH K AH L
 PARAGRAPH	P AE R AH G R AE F
 PARALLEL	P EH R AH L EH L
 PARALYSED	P EH R AH L IY Z D
 PARAMORE	P EH AH M AO R
 PARAMOUNT	P EH R AH M AW N T
 PARAPET	P EH R AH P EH T
 PARAPETS	P AE R AH P AH T S
 PARBOILED	P AA R B OY L D
 PARCEL	P AA R S AH L
 PARCHED	P AA R CH T
 PARDON	P AA R D AH N
 PARENTS	P EH R AH N T S
 PARIETAL	P ER AY AH T AH L
 PARIS	P EH R IH S
 PARISH	P AE R IH SH
 PARK	P AA R K
 PARLANCE	P AA R L AH N S
 PARLEY	P AA R L IY
 PARLIAMENT	P AA R L AH M EH N T
 PARR	P AA R
 PARSONAGE	P AA R S AH N IH JH
 PART	P AA R T
 PARTED	P AA R T AH D
 PARTIALLY	P AA R SH AH L IY
 PARTICULAR	P ER T IH K Y AH L ER
 PARTICULARLY	P AA R T IH K Y AH L ER L IY
 PARTICULARS	P ER T IH K Y AH L ER Z
 PARTIE	P AA R T IY
 PARTIES	P AA R T IY Z
 PARTLY	P AA R T L IY
 PARTNER	P AA R T N ER
 PARTS	P AA R T S
 PARTY	P AA R T IY
 PASS	P AE S
 PASSABLE	P AE S AH B AH L
 PASSAGE	P AE S AH JH
 PASSAGES	P AE S AH JH AH Z
 PASSED	P AE S T
 PASSENGER	P AE S AH N JH ER
 PASSENGERS	P AE S AH N JH ER Z
 PASSERS	P AE S ER Z
 PASSING	P AE S IH NG
 PASSION	P AE SH AH N
 PASSIONATE	P AE SH AH N AH T
 PASSIONATELY	P AE SH AH N AH T L IY
 PAST	P AE S T
 PASTY	P EY S T IY
 PATCH	P AE CH
 PATCHES	P AE CH AH Z
 PATENT	P AE T AH N T
 PATENTEE	P AE T AH N T IY
 PATERNAL	P AH T ER N AH L
 PATERSONS	P EY T ER S AH N Z
 PATH	P AE TH
 PATHS	P AE DH Z
 PATHWAY	P AE TH W EY
 PATIENCE	P EY SH AH N S
 PATIENT	P EY SH AH N T
 PATIENTS	P EY SH AH N T S
 PATROLS	P AH T R OW L Z
 PATRON	P EY T R AH N
 PATTED	P AE T AH D
 PATTERED	P AE T ER D
 PATTING	P AE T IH NG
 PAUPER	P AO P ER
 PAUSE	P AO Z
 PAUSED	P AO Z D
 PAUSING	P AO Z IH NG
 PAVEMENT	P EY V M AH N T
 PAWING	P AO IH NG
 PAWNBROKER	P AO N B R OW K ER
 PAY	P EY
 PAYING	P EY IH NG
 PAYMENT	P EY M AH N T
 PAYS	P EY Z
 PEA	P IY
 PEACE	P IY S
 PEACEFUL	P IY S F AH L
 PEAKED	P IY K T
 PEALING	P IY L IH NG
 PEARL	P ER L
 PEASANT	P EH Z AH N T
 PECK	P EH K
 PECULIAR	P AH K Y UW L Y ER
 PECULIARITIES	P IH K Y UW L IY EH R AH T IY Z
 PEELED	P IY L D
 PEELING	P IY L IH NG
 PEEP	P IY P
 PEEPED	P IY P T
 PEEPING	P IY P IH NG
 PEER	P IH R
 PEERED	P IH R D
 PEERESS	P IH ER AH S
 PEERING	P IY R IH NG
 PEN	P EH N
 PENAL	P IY N AH L
 PENCE	P EH N S
 PENCIL	P EH N S AH L
 PENCILS	P EH N S AH L Z
 PENDING	P EH N D IH NG
 PENETRATING	P EH N AH T R EY T IH NG
 PENKNIFE	P EH N AY F
 PENNIES	P EH N IY Z
 PENNY	P EH N IY
 PENTONVILLE	P EH N T AA N V AH L
 PEOPLE	P IY P AH L
 PER	P ER
 PERCEIVE	P ER S IY V
 PERCEIVED	P ER S IY V D
 PERCEIVING	P ER S IY V IH NG
 PERCEPTIBLE	P ER S EH P T AH B AH L
 PERCH	P ER CH
 PERCHED	P ER CH T
 PERCY	P ER S IY
 PERFECT	P ER F EH K T
 PERFECTION	P ER F EH K SH AH N
 PERFECTLY	P ER F AH K T L IY
 PERFORM	P ER F AO R M
 PERFORMANCE	P ER F AO R M AH N S
 PERFORMED	P ER F AO R M D
 PERHAPS	P ER HH AE P S
 PERIL	P EH R AH L
 PERILS	P EH R AH L Z
 PERIODICAL	P IH R IY AA D IH K AH L
 PERIODICALLY	P IY R IY AA D IH K AH L IY
 PERISH	P EH R IH SH
 PERMANENT	P ER M AA N EH N T
 PERMISSION	P ER M IH SH AH N
 PERMIT	P ER M IH T
 PERMITTED	P ER M IH T AH D
 PERPETRATED	P ER P AH T R EY T IH D
 PERPETRATORS	P ER P AH T R EY T ER Z
 PERPETUAL	P ER P EH CH UW AH L
 PERPLEXED	P ER P L EH K S T
 PERPLEXING	P ER P L EH K S IH NG
 PERPLEXINGLY	P ER P L EH K S IH NG L IY
 PERPLEXITY	P ER P L EH K S AH T IY
 PERROTIN	P ER R AA T IH N
 PERSECUTION	P ER S AH K Y UW SH AH N
 PERSEVERING	P ER S AH V IH R IH NG
 PERSIAN	P ER ZH AH N
 PERSISTENCE	P ER S IH S T AH N S
 PERSISTENCY	P ER S IH S T AH N S IY
 PERSISTENTLY	P ER S IH S T AH N T L IY
 PERSON	P ER S AH N
 PERSONAL	P ER S IH N AH L
 PERSONALITY	P ER S AH N AE L IH T IY
 PERSONALLY	P ER S AH N AH L IY
 PERSONATE	P ER S AH N AH T
 PERSONS	P ER S AH N Z
 PERSPIRATION	P ER S P ER EY SH AH N
 PERSPIRED	P ER S P AY R D
 PERSUADE	P ER S W EY D
 PERSUADED	P ER S W EY D AH D
 PERSUASIONS	P ER S W EY ZH AH N Z
 PERTURBED	P ER T ER B D
 PESTERED	P EH S T ER D
 PESTERING	P EH S T ER IH NG
 PET	P EH T
 PETERED	P IY T ER D
 PETERSFIELD	P IY T ER Z F IY L D
 PETERSON	P IY T ER S AH N
 PETRARCH	P EH T R AH R K
 PETRIFIED	P EH T R AH F AY D
 PETS	P EH T S
 PETTY	P EH T IY
 PETULANCE	P EH CH AH L AH N S
 PEW	P Y UW
 PHEASANT	F EH Z AH N T
 PHENOMENA	F AH N AA M AH N AH
 PHILADELPHIA	F IH L AH D EH L F IY AH
 PHILANTHROPIST	F AH L AE N TH R AH P AH S T
 PHILOSOPHICAL	F IH L AH S AA F IH K AH L
 PHILOSOPHY	F AH L AA S AH F IY
 PHOTOGRAPH	F OW T AH G R AE F
 PHOTOGRAPHICALLY	F OW T AH G R AE F IH K AH L IY
 PHOTOGRAPHY	F AH T AA G R AH F IY
 PHRASE	F R EY Z
 PHYSICAL	F IH Z IH K AH L
 PICK	P IH K
 PICKAXES	P IH K AE K S IH Z
 PICKED	P IH K T
 PICKING	P IH K IH NG
 PICTURE	P IH K CH ER
 PICTURES	P IH K CH ER Z
 PIE	P AY
 PIECE	P IY S
 PIECES	P IY S AH Z
 PIERCE	P IH R S
 PIERCED	P IH R S T
 PIG	P IH G
 PIGMENTS	P IH G M EH N T S
 PIKESTAFF	P AY K S T AE F
 PILE	P AY L
 PILED	P AY L D
 PILING	P AY L IH NG
 PILLAR	P IH L ER
 PILLARS	P IH L ER Z
 PILLOW	P IH L OW
 PILLOWS	P IH L OW Z
 PILOT	P AY L AH T
 PIN	P IH N
 PINCE	P IH N S
 PINCH	P IH N CH
 PINCHED	P IH N CH T
 PINE	P AY N
 PINK	P IH NG K
 PINNACLE	P IH N AH K AH L
 PINNACLES	P IH N IH K AH L Z
 PINPOINT	P IH N P OY N T
 PIONEERS	P AY AH N IH R Z
 PIPE	P AY P
 PIPES	P AY P S
 PIPING	P AY P IH NG
 PIPS	P IH P S
 PIQUANT	P IY K AH N T
 PIRATES	P AY R AH T S
 PISTOL	P IH S T AH L
 PISTON	P IH S T AH N
 PIT	P IH T
 PITCH	P IH CH
 PITCHED	P IH CH T
 PITEOUS	P IH T IY AH S
 PITFALLS	P IH T F AO L Z
 PITIABLE	P IH T IY AH B AH L
 PITIFUL	P IH T AH F AH L
 PITILESS	P IH T IY L AH S
 PITS	P IH T S
 PITTANCE	P IH T AH N S
 PITY	P IH T IY
 PLACARDS	P L AE K ER D Z
 PLACE	P L EY S
 PLACED	P L EY S T
 PLACES	P L EY S AH Z
 PLACING	P L EY S IH NG
 PLAID	P L AE D
 PLAIN	P L EY N
 PLAINER	P L EY N ER
 PLAINLY	P L EY N L IY
 PLAN	P L AE N
 PLANET	P L AE N AH T
 PLANETS	P L AE N AH T S
 PLANK	P L AE NG K
 PLANKING	P L AE NG K IH NG
 PLANKS	P L AE NG K S
 PLANNED	P L AE N D
 PLANNING	P L AE N IH NG
 PLANNINGS	P L AE N IH NG Z
 PLANS	P L AE N Z
 PLANTAGENET	P L AE N T EY JH N EH T
 PLANTATION	P L AE N T EY SH AH N
 PLANTED	P L AE N T AH D
 PLANTER	P L AE N T ER
 PLASTER	P L AE S T ER
 PLATE	P L EY T
 PLATFORM	P L AE T F AO R M
 PLATFORMS	P L AE T F AO R M Z
 PLATITUDES	P L AE T IH T UW D Z
 PLAUSIBLE	P L AO Z AH B AH L
 PLAY	P L EY
 PLAYED	P L EY D
 PLAYER	P L EY ER
 PLAYING	P L EY IH NG
 PLAYS	P L EY Z
 PLEADING	P L IY D IH NG
 PLEASANT	P L EH Z AH N T
 PLEASANTRIES	P L EH Z AH N T R IY Z
 PLEASE	P L IY Z
 PLEASED	P L IY Z D
 PLEASURE	P L EH ZH ER
 PLEDGE	P L EH JH
 PLEDGED	P L EH JH D
 PLENTIFUL	P L EH N T AH F AH L
 PLENTY	P L EH N T IY
 PLIED	P L AY D
 PLOT	P L AA T
 PLOUGHED	P L AW D
 PLUCK	P L AH K
 PLUCKED	P L AH K T
 PLUCKILY	P L AH K IY L IY
 PLUCKING	P L AH K IH NG
 PLUGS	P L AH G Z
 PLUMBER	P L AH M ER
 PLUMES	P L UW M Z
 PLUMPED	P L AH M P T
 PLUNGE	P L AH N JH
 PLUNGED	P L AH N JH D
 PLUSH	P L AH SH
 POCKET	P AA K AH T
 POCKETS	P AA K AH T S
 POETRY	P OW AH T R IY
 POINT	P OY N T
 POINTED	P OY N T IH D
 POINTING	P OY N T IH NG
 POINTS	P OY N T S
 POISON	P OY Z AH N
 POISONED	P OY Z AH N D
 POISONER	P OY Z AH N ER
 POISONING	P OY Z AH N IH NG
 POISONOUS	P OY Z AH N AH S
 POKER	P OW K ER
 POKERS	P OW K ER Z
 POLE	P OW L
 POLICE	P AH L IY S
 POLICEMAN	P AH L IY S M AH N
 POLICEMEN	P AH L IY S M IH N
 POLICY	P AA L AH S IY
 POLISHED	P AA L IH SH T
 POLITICAL	P AH L IH T AH K AH L
 POLITICIANS	P AA L AH T IH SH AH N Z
 POLITICS	P AA L AH T IH K S
 POLLARD	P AA L ER D
 POMPOSITY	P AA M P AA S IH T IY
 PON	P AA N
 PONDERED	P AA N D ER D
 PONDEROUS	P AA N D ER AH S
 PONDICHERRY	P AA N D AH CH EH R IY
 PONY	P OW N IY
 POOH	P UW
 POOL	P UW L
 POOLS	P UW L Z
 POOR	P UW R
 POORER	P UW R ER
 POPULAR	P AA P Y AH L ER
 POPULATION	P AA P Y AH L EY SH AH N
 POPULOUS	P AA P Y AH L AH S
 PORCH	P AO R CH
 PORT	P AO R T
 PORTER	P AO R T ER
 PORTERS	P AO R T ER Z
 PORTION	P AO R SH AH N
 PORTLAND	P AO R T L AH N D
 PORTLY	P AO R T L IY
 PORTMANTEAU	P AO R T M AE N T IY UW
 PORTSDOWN	P OW R T S D AW N
 PORTSMOUTH	P AO R T S M AH TH
 POSES	P OW Z AH Z
 POSITION	P AH Z IH SH AH N
 POSITIONS	P AH Z IH SH AH N Z
 POSITIVE	P AA Z AH T IH V
 POSITIVELY	P AA Z AH T IH V L IY
 POSSESS	P AH Z EH S
 POSSESSED	P AH Z EH S T
 POSSESSION	P AH Z EH SH AH N
 POSSESSIONS	P AH Z EH SH AH N Z
 POSSIBILITIES	P AA S AH B IH L AH T IY Z
 POSSIBILITY	P AA S AH B IH L AH T IY
 POSSIBLE	P AA S AH B AH L
 POSSIBLY	P AA S AH B L IY
 POST	P OW S T
 POSTED	P OW S T IH D
 POSTERIOR	P AO S T IH R Y ER
 POSTMARK	P OW S T M AA R K
 POSTPONE	P OW S T P OW N
 POTATO	P AH T EY T OW
 POTMAN	P AA T M AE N
 POTS	P AA T S
 POTTERIES	P OW T AH R IY Z
 POULTRY	P OW L T R IY
 POUND	P AW N D
 POUNDER	P AW N D ER
 POUNDERS	P AW N D ER Z
 POUNDS	P AW N D Z
 POURED	P AO R D
 POURING	P AO R IH NG
 POURS	P AO R Z
 POWDER	P AW D ER
 POWDERY	P AW D ER IY
 POWER	P AW ER
 POWERFUL	P AW ER F AH L
 POWERS	P AW ER Z
 PRACTICAL	P R AE K T IH K AH L
 PRACTICALLY	P R AE K T IH K AH L IY
 PRACTICE	P R AE K T IH S
 PRAY	P R EY
 PRAYER	P R EH R
 PRE	P R IY
 PREACH	P R IY CH
 PRECAUTION	P R IY K AO SH AH N
 PRECAUTIONS	P R IY K AO SH AH N Z
 PRECEDED	P R IH S IY D IH D
 PRECEDING	P R IY S IY D IH NG
 PRECIOUS	P R EH SH AH S
 PRECIPITATED	P R IH S IH P IH T EY T IH D
 PRECIPITATION	P R IH S IH P IH T EY SH AH N
 PRECISE	P R IH S AY S
 PRECISELY	P R IH S AY S L IY
 PRECURSOR	P R IY K ER S ER
 PREDICTION	P R IY D IH K SH AH N
 PREFER	P R AH F ER
 PREFERENCE	P R EH F ER AH N S
 PREJUDICE	P R EH JH AH D IH S
 PRELIMINARY	P R IH L IH M AH N EH R IY
 PREMATURE	P R IY M AH CH UH R
 PREMISES	P R EH M AH S AH Z
 PRENDERGAST	P R EH N D ER G AE S T
 PREOCCUPIED	P R IY AA K Y AH P AY D
 PREPARATION	P R EH P ER EY SH AH N
 PREPARATIONS	P R EH P ER EY SH AH N Z
 PREPARED	P R IY P EH R D
 PREPARING	P R IY P EH R IH NG
 PREPOSTEROUS	P R IH P AA S T ER AH S
 PRESENCE	P R EH Z AH N S
 PRESENT	P R EH Z AH N T
 PRESENTED	P R IY Z EH N T AH D
 PRESENTLY	P R EH Z AH N T L IY
 PRESENTS	P R EH Z AH N T S
 PRESERVATION	P R EH Z ER V EY SH AH N
 PRESERVE	P R AH Z ER V
 PRESERVED	P R AH Z ER V D
 PRESERVER	P R IY Z ER V ER
 PRESERVES	P R AH Z ER V Z
 PRESERVING	P R AH Z ER V IH NG
 PRESS	P R EH S
 PRESSED	P R EH S T
 PRESSES	P R EH S AH Z
 PRESSING	P R EH S IH NG
 PRESSURE	P R EH SH ER
 PRESUMABLY	P R AH Z UW M AH B L IY
 PRESUME	P R IH Z UW M
 PRESUMING	P R IH Z UW M IH NG
 PRESUMPTION	P R IH Z AH M P SH AH N
 PRETENCE	P R IY T EH N S
 PRETENDED	P R IY T EH N D AH D
 PRETENDS	P R IY T EH N D Z
 PRETEXT	P R IY T EH K S T
 PRETTILY	P R IH T IY L IY
 PRETTY	P R IH T IY
 PREVAILS	P R IH V EY L Z
 PREVENT	P R IH V EH N T
 PREVENTED	P R IH V EH N T IH D
 PREVENTING	P R IH V EH N T IH NG
 PREVIOUS	P R IY V IY AH S
 PREY	P R EY
 PRICE	P R AY S
 PRICES	P R AY S AH Z
 PRIDE	P R AY D
 PRIME	P R AY M
 PRINCIPAL	P R IH N S AH P AH L
 PRINCIPALLY	P R IH N S IH P L IY
 PRINCIPLE	P R IH N S AH P AH L
 PRINT	P R IH N T
 PRINTED	P R IH N T AH D
 PRINTS	P R IH N T S
 PRIOR	P R AY ER
 PRISON	P R IH Z AH N
 PRISONER	P R IH Z AH N ER
 PRITCHARD	P R IH CH ER D
 PRIVACY	P R AY V AH S IY
 PRIVATE	P R AY V AH T
 PRIVATES	P R AY V AH T S
 PRIVILEGED	P R IH V IH L IH JH D
 PRIZE	P R AY Z
 PRIZES	P R AY Z AH Z
 PROBABILITY	P R AA B AH B IH L AH T IY
 PROBABLE	P R AA B AH B AH L
 PROBABLY	P R AA B AH B L IY
 PROBED	P R OW B D
 PROBING	P R OW B IH NG
 PROBLEM	P R AA B L AH M
 PROBLEMATICAL	P R AA B L AH M AE T IH K AH L
 PROBLEMS	P R AA B L AH M Z
 PROCEED	P R AH S IY D
 PROCEEDED	P R AH S IY D AH D
 PROCEEDING	P R AH S IY D IH NG
 PROCEEDINGS	P R OW S IY D IH NG Z
 PROCESS	P R AA S EH S
 PROCESSION	P R AH S EH SH AH N
 PROCLAMATION	P R AA K L AH M EY SH AH N
 PRODIGIOUSLY	P R OW D IH JH IH S L IY
 PRODUCE	P R AH D UW S
 PRODUCED	P R AH D UW S T
 PRODUCING	P R AH D UW S IH NG
 PRODUCT	P R AA D AH K T
 PRODUCTION	P R AH D AH K SH AH N
 PROFESSING	P R AH F EH S IH NG
 PROFESSION	P R AH F EH SH AH N
 PROFESSIONAL	P R AH F EH SH AH N AH L
 PROFESSIONALLY	P R AH F EH SH AH N AH L IY
 PROFICIENT	P R AA F IH SH AH N T
 PROFIT	P R AA F AH T
 PROFITED	P R AA F AH T AH D
 PROFOUND	P R OW F AW N D
 PROFOUNDER	P R OW F AW N D ER
 PROFOUNDLY	P R OW F AW N D L IY
 PROFUNDITY	P R AH F AH N D AH T IY
 PROGRESSED	P R AH G R EH S T
 PROHIBITED	P R OW HH IH B AH T AH D
 PROJECT	P R AA JH EH K T
 PROJECTED	P R AA JH EH K T AH D
 PROJECTILE	P R AA JH EH K T AH L
 PROJECTING	P R AA JH EH K T IH NG
 PROJECTION	P R AA JH EH K SH AH N
 PROJECTS	P R AA JH EH K T S
 PROLONG	P R AH L AO NG
 PROLONGED	P R AH L AO NG D
 PROMENADERS	P R AA M AH N EY D ER Z
 PROMINENCE	P R AA M AH N AH N S
 PROMISE	P R AA M AH S
 PROMISED	P R AA M AH S T
 PROMISES	P R AA M AH S AH Z
 PROMISING	P R AA M AH S IH NG
 PROMPT	P R AA M P T
 PRONOUNCE	P R AH N AW N S
 PROOF	P R UW F
 PROOFS	P R UW F S
 PROOSIA	P R OW OW ZH IY AH
 PROPER	P R AA P ER
 PROPERTY	P R AA P ER T IY
 PROPORTION	P R AH P AO R SH AH N
 PROPOSAL	P R AH P OW Z AH L
 PROPOSE	P R AH P OW Z
 PROPOSED	P R AH P OW Z D
 PROPOUND	P R AH P AW N D
 PROPRIETOR	P R AH P R AY AH T ER
 PROPRIETY	P R AH P R AY AH T IY
 PROSECUTED	P R AA S IH K Y UW T IH D
 PROSECUTION	P R AA S AH K Y UW SH AH N
 PROSPECT	P R AA S P EH K T
 PROSPECTING	P R AO S P EH K T IH NG
 PROSPER	P R AA S P ER
 PROSPERITY	P R AA S P EH R AH T IY
 PROSPEROUS	P R AA S P ER AH S
 PROTECT	P R AH T EH K T
 PROTECTION	P R AH T EH K SH AH N
 PROTESTATION	P R OW T EH S T EY SH AH N
 PROTESTED	P R AH T EH S T AH D
 PROTESTING	P R AH T EH S T IH NG
 PROTRUDED	P R OW T R UW D IH D
 PROTRUDING	P R OW T R UW D IH NG
 PROUD	P R AW D
 PROVE	P R UW V
 PROVED	P R UW V D
 PROVES	P R UW V Z
 PROVIDED	P R AH V AY D AH D
 PROVINCE	P R AA V AH N S
 PROVINCIAL	P R AH V IH N SH AH L
 PROVING	P R UW V IH NG
 PROVISION	P R AH V IH ZH AH N
 PROVOKED	P R AH V OW K T
 PROWLED	P R AW L D
 PROXIMITY	P R AA K S IH M AH T IY
 PRUSSIAN	P R AH SH AH N
 PRYING	P R AY IH NG
 PSHAW	SH AO
 PUBLIC	P AH B L IH K
 PUBLICITY	P AH B L IH S AH T IY
 PUDDLE	P AH D AH L
 PUFF	P AH F
 PUFFED	P AH F T
 PUFFING	P AH F IH NG
 PUFFS	P AH F S
 PUGILISTIC	P Y UW JH AH L IH S T IH K
 PULL	P UH L
 PULLED	P UH L D
 PULLING	P UH L IH NG
 PULP	P AH L P
 PULSATED	P AH L S EY T IH D
 PUNCH	P AH N CH
 PUNCTURED	P AH NG K CH ER D
 PUNCTURES	P AH NG K CH ER Z
 PUNGENT	P AH N JH AH N T
 PUNISH	P AH N IH SH
 PUNISHMENT	P AH N IH SH M AH N T
 PUNY	P Y UW N IY
 PUPILS	P Y UW P AH L Z
 PURCHASE	P ER CH AH S
 PURCHASING	P ER CH AH S IH NG
 PURE	P Y UH R
 PURELY	P Y UH R L IY
 PUREST	P Y UH R AH S T
 PURITY	P Y UH R AH T IY
 PURPLE	P ER P AH L
 PURPORT	P ER P AO R T
 PURPOSE	P ER P AH S
 PURPOSELESSNESS	P ER P AH S L AH S N AH S
 PURPOSES	P ER P AH S AH Z
 PURSE	P ER S
 PURSES	P ER S IH Z
 PURSUE	P ER S UW
 PURSUED	P ER S UW D
 PURSUER	P ER S UW ER
 PURSUERS	P ER S UW ER Z
 PURVEYOR	P ER V EY ER
 PUSH	P UH SH
 PUSHED	P UH SH T
 PUSHING	P UH SH IH NG
 PUT	P UH T
 PUTNEY	P AH T N IY
 PUTTING	P AH T IH NG
 PUTTY	P AH T IY
 PUZZLE	P AH Z AH L
 PUZZLED	P AH Z AH L D
 PYRFORD	P AH R F AH R D
 QUALIFICATIONS	K W AA L AH F AH K EY SH AH N Z
 QUALITIES	K W AA L AH T IY Z
 QUALITY	K W AA L AH T IY
 QUANTITIES	K W AA N T AH T IY Z
 QUANTITY	K W AA N T AH T IY
 QUARREL	K W AO R AH L
 QUARRELLING	K W AO R AH L IH NG
 QUARRELS	K W AO R AH L Z
 QUARTER	K W AO R T ER
 QUARTERING	K W AO R T ER IH NG
 QUARTERS	K W AO R T ER Z
 QUASI	K W AA S IY
 QUAVERING	K W EY V ER IH NG
 QUEER	K W IH R
 QUEST	K W EH S T
 QUESTION	K W EH S CH AH N
 QUESTIONABLE	K W EH S CH AH N AH B AH L
 QUESTIONING	K W EH S CH AH N IH NG
 QUESTIONS	K W EH S CH AH N Z
 QUICK	K W IH K
 QUICKER	K W IH K ER
 QUICKLY	K W IH K L IY
 QUIET	K W AY AH T
 QUIETLY	K W AY AH T L IY
 QUILL	K W IH L
 QUINSY	K W IH N Z IY
 QUITE	K W AY T
 QUIVERED	K W IH V ER D
 QUIVERING	K W IH V ER IH NG
 QUOTE	K W OW T
 QUOTES	K W OW T S
 R	AA R
 RABBIT	R AE B AH T
 RABBITS	R AE B AH T S
 RACE	R EY S
 RACES	R EY S AH Z
 RACK	R AE K
 RADIANCE	R EY D IY AH N S
 RADIATION	R EY D IY EY SH AH N
 RADIUS	R EY D IY AH S
 RÉPERTOIRE	R EH P AH R T OY R
 RAGE	R EY JH
 RAGGED	R AE G AH D
 RAILING	R EY L IH NG
 RAILINGS	R EY L IH NG Z
 RAILS	R EY L Z
 RAILWAY	R EY L W EY
 RAIMENT	R EY M AH N T
 RAIN	R EY N
 RAINED	R EY N D
 RAINING	R EY N IH NG
 RAISE	R EY Z
 RAISED	R EY Z D
 RAISING	R EY Z IH NG
 RAKE	R EY K
 RAM	R AE M
 RAMBLING	R AE M B L IH NG
 RAMBLINGS	R AE M B AH L IH NG Z
 RAMPART	R AE M P AA R T
 RAN	R AE N
 RANDOM	R AE N D AH M
 RANG	R AE NG
 RANGE	R EY N JH
 RANK	R AE NG K
 RANSACK	R AE N S AE K
 RAP	R AE P
 RAPID	R AE P AH D
 RAPIDITY	R AH P IH D AH T IY
 RAPIDLY	R AE P AH D L IY
 RAPPED	R AE P T
 RAPT	R AE P T
 RARE	R EH R
 RASCALLY	R AE S K AH L IY
 RASHERS	R AE SH ER Z
 RASHNESS	R AE SH N AH S
 RAT	R AE T
 RATE	R EY T
 RATHER	R AE DH ER
 RATIONAL	R AE SH AH N AH L
 RATTLE	R AE T AH L
 RATTLED	R AE T AH L D
 RATTLING	R AE T L IH NG
 RAVED	R EY V D
 RAY	R EY
 RAYS	R EY Z
 RD	AA R D
 RE	R EY
 REABSORBED	R IY AH B Z AO R B D
 REACH	R IY CH
 REACHED	R IY CH T
 REACHES	R IY CH AH Z
 REACHING	R IY CH IH NG
 REACTION	R IY AE K SH AH N
 READ	R EH D
 READER	R IY D ER
 READERS	R IY D ER Z
 READILY	R EH D AH L IY
 READING	R IY D IH NG
 READY	R EH D IY
 REAL	R IY L
 REALISE	R IY AH L AY Z
 REALISED	R IY AH L AY Z D
 REALISING	R IY L IY Z IH NG
 REALISM	R IY AH L IH Z M
 REALISTIC	R IY AH L IH S T IH K
 REALIZE	R IY AH L AY Z
 REALIZED	R IY AH L AY Z D
 REALIZING	R IY AH L AY Z IH NG
 REALLY	R IH L IY
 REAPED	R IY P T
 REAPPEAR	R IY AH P IH R
 REAR	R IH R
 REARED	R IH R D
 REARING	R IH R IH NG
 REARRANGING	R IY ER EY N JH IH NG
 REASON	R IY Z AH N
